seller_id;quantity;date
493;12;2021-06-14
90;10;2021-06-14
336;12;2021-06-08
231;12;2021-06-25
275;7;2021-06-08
58;8;2021-06-22
153;18;2021-06-12
292;11;2021-06-16
474;8;2021-06-22
222;55;2021-06-24
65;14;2021-06-03
438;11;2021-06-09
9;17;2021-06-12
320;5;2021-06-18
149;23;2021-06-10
184;27;2021-06-15
250;26;2021-06-21
495;14;2021-06-13
185;23;2021-06-25
377;8;2021-06-10
377;35;2021-06-17
228;10;2021-06-27
79;24;2021-06-05
230;40;2021-06-20
359;30;2021-06-14
476;44;2021-06-14
242;6;2021-06-02
357;20;2021-06-04
223;12;2021-06-23
269;22;2021-06-21
260;23;2021-06-08
188;9;2021-06-09
170;17;2021-06-18
446;9;2021-06-26
245;13;2021-06-02
331;11;2021-06-22
466;40;2021-06-16
182;41;2021-06-24
493;17;2021-06-24
100;10;2021-06-10
242;6;2021-06-19
95;15;2021-06-20
412;16;2021-06-24
341;9;2021-06-03
357;16;2021-06-15
105;12;2021-06-03
159;38;2021-06-14
46;9;2021-06-07
245;20;2021-06-07
443;5;2021-06-03
384;6;2021-06-08
343;13;2021-06-27
31;33;2021-06-21
142;12;2021-06-28
281;26;2021-06-02
82;7;2021-06-15
356;13;2021-06-06
3;24;2021-06-28
92;12;2021-06-11
382;15;2021-06-15
267;8;2021-06-06
222;12;2021-06-16
197;11;2021-06-26
148;22;2021-06-26
485;7;2021-06-27
162;26;2021-06-19
262;22;2021-06-16
130;94;2021-06-24
446;29;2021-06-13
249;22;2021-06-19
404;20;2021-06-25
54;19;2021-06-17
402;32;2021-06-28
270;13;2021-06-07
445;11;2021-06-04
168;20;2021-06-10
94;13;2021-06-08
361;20;2021-06-28
431;29;2021-06-14
440;10;2021-06-28
200;22;2021-06-09
108;22;2021-06-20
91;12;2021-06-07
196;10;2021-06-26
289;17;2021-06-09
165;9;2021-06-03
341;58;2021-06-24
82;30;2021-06-03
177;14;2021-06-19
294;15;2021-06-18
499;29;2021-06-28
82;15;2021-06-22
308;15;2021-06-20
59;14;2021-06-05
84;21;2021-06-27
352;27;2021-06-28
294;14;2021-06-08
143;15;2021-06-26
323;13;2021-06-21
318;14;2021-06-23
413;31;2021-06-14
101;30;2021-06-03
356;24;2021-06-09
109;14;2021-06-10
138;9;2021-06-26
160;12;2021-06-21
156;18;2021-06-26
9;12;2021-06-25
438;10;2021-06-19
280;16;2021-06-07
124;20;2021-06-27
308;14;2021-06-28
287;7;2021-06-17
106;5;2021-06-28
378;12;2021-06-16
115;54;2021-06-24
439;18;2021-06-04
19;14;2021-06-07
34;112;2021-06-23
142;47;2021-06-23
44;13;2021-06-14
269;50;2021-06-24
483;11;2021-06-05
195;21;2021-06-25
55;58;2021-06-23
294;32;2021-06-23
95;15;2021-06-15
488;18;2021-06-16
301;22;2021-06-04
431;10;2021-06-21
242;24;2021-06-18
387;23;2021-06-02
446;6;2021-06-12
121;25;2021-06-25
112;77;2021-06-13
121;26;2021-06-07
0;26;2021-06-09
341;9;2021-06-02
135;23;2021-06-16
14;9;2021-06-20
440;7;2021-06-19
356;18;2021-06-15
130;22;2021-06-08
72;16;2021-06-09
174;50;2021-06-24
302;19;2021-06-28
120;25;2021-06-26
230;11;2021-06-19
291;34;2021-06-23
363;42;2021-06-24
241;10;2021-06-09
334;10;2021-06-27
61;64;2021-06-13
272;45;2021-06-24
390;17;2021-06-12
105;27;2021-06-02
293;27;2021-06-10
295;9;2021-06-15
10;11;2021-06-21
18;18;2021-06-11
101;23;2021-06-07
443;23;2021-06-10
423;5;2021-06-26
124;23;2021-06-01
212;10;2021-06-05
281;58;2021-06-14
458;18;2021-06-18
377;7;2021-06-25
429;9;2021-06-02
1;16;2021-06-16
75;8;2021-06-11
283;20;2021-06-28
91;6;2021-06-22
186;20;2021-06-18
54;10;2021-06-06
162;18;2021-06-02
391;54;2021-06-14
64;19;2021-06-09
263;15;2021-06-10
376;21;2021-06-08
449;5;2021-06-03
150;45;2021-06-14
76;23;2021-06-06
431;27;2021-06-12
439;12;2021-06-13
422;29;2021-06-24
324;5;2021-06-12
10;172;2021-06-13
307;6;2021-06-20
42;23;2021-06-07
17;13;2021-06-25
70;18;2021-06-05
378;23;2021-06-14
366;13;2021-06-02
256;38;2021-06-24
458;18;2021-06-12
464;8;2021-06-05
127;18;2021-06-01
38;21;2021-06-28
278;15;2021-06-18
275;32;2021-06-15
134;41;2021-06-16
279;10;2021-06-07
404;15;2021-06-27
295;31;2021-06-14
216;12;2021-06-06
407;8;2021-06-06
76;13;2021-06-26
492;20;2021-06-10
318;8;2021-06-08
169;60;2021-06-24
473;17;2021-06-05
207;8;2021-06-18
192;9;2021-06-18
318;29;2021-06-04
18;15;2021-06-19
465;14;2021-06-20
77;7;2021-06-03
351;8;2021-06-13
335;4;2021-06-22
442;33;2021-06-22
402;6;2021-06-08
436;19;2021-06-17
455;15;2021-06-14
375;18;2021-06-13
326;26;2021-06-11
304;19;2021-06-02
201;29;2021-06-14
232;7;2021-06-19
170;48;2021-06-24
124;23;2021-06-17
232;8;2021-06-01
155;11;2021-06-01
91;16;2021-06-26
91;24;2021-06-25
39;8;2021-06-20
112;19;2021-06-25
322;14;2021-06-11
456;20;2021-06-24
113;23;2021-06-06
358;28;2021-06-09
199;19;2021-06-21
147;22;2021-06-19
466;14;2021-06-20
372;10;2021-06-05
110;6;2021-06-12
