user_id,category_id,category_name,subcategory_id,subcategory_name,param1,param2,param3,param1_microcat_id,param2_microcat_id,param3_microcat_id
154189609,7,Хобби и отдых,4,Велосипеды,Детские,,,1246.0,,
154189609,17,Бытовая электроника,29,Товары для компьютера,Комплектующие,Видеокарты,,1651.0,6491.0,
154189609,17,Бытовая электроника,41,Телефоны,iPhone,,,7315.0,,
154189609,17,Бытовая электроника,41,Телефоны,Xiaomi,,,10750009.0,,
154189728,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,46–48 (L),1989.0,6949.0,775.0
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Мужская одежда,Обувь,43,3285.0,6813.0,5386.0
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,39,1989.0,2679.0,6644.0
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,37,1989.0,2679.0,2008.0
154189879,1,Для дома и дачи,50,Ремонт и строительство,Сантехника и сауна,,,2232.0,,
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154189879,1,Для дома и дачи,50,Ремонт и строительство,Сантехника и сауна,,,2232.0,,
154189879,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154189983,28,Личные вещи,60,Детская одежда и обувь,Для девочек,Брюки,146-152 см (10-12 лет),478.0,2596.0,5485.0
154189983,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Трикотаж,44–46 (M),1989.0,716.0,7458.0
154189983,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Платья и юбки,Без размера,1989.0,4277.0,2369.0
154189983,17,Бытовая электроника,41,Телефоны,Аксессуары,Чехлы и плёнки,,2421.0,6786.0,
154189983,7,Хобби и отдых,52,Книги и журналы,Учебная литература,,,2304.0,,
154189983,28,Личные вещи,22,"Одежда, обувь, аксессуары",Аксессуары,,,2867.0,,
154189983,28,Личные вещи,60,Детская одежда и обувь,Для девочек,Трикотаж,Без размера,478.0,6514.0,2979.0
154189983,7,Хобби и отдых,5,Спорт и отдых,Дайвинг и водный спорт,,,360.0,,
154191271,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Верхняя одежда,40–42 (XS),1989.0,6949.0,1357.0
154191271,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Брюки,42–44 (S),1989.0,2467.0,5658.0
154191271,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154191271,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Брюки,40–42 (XS),1989.0,2467.0,4499.0
154191271,7,Хобби и отдых,5,Спорт и отдых,Другое,,,1876.0,,
154191271,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Обувь,38,1989.0,2679.0,3980.0
154191271,28,Личные вещи,22,"Одежда, обувь, аксессуары",Мужская одежда,Верхняя одежда,> 54 (XXXL),3285.0,5739.0,3099.0
154191271,28,Личные вещи,22,"Одежда, обувь, аксессуары",Женская одежда,Брюки,40–42 (XS),1989.0,2467.0,4499.0
154191271,7,Хобби и отдых,15,Билеты и путешествия,Концерты,,,4154.0,,
154190980,250003,Работа,250004,Резюме,"Без опыта, студенты",,,2179.0,,
154190268,7,Хобби и отдых,52,Книги и журналы,Книги,,,4701.0,,
154191731,250003,Работа,250004,Резюме,"Маркетинг, реклама, PR",Сменный график,,6077.0,7142.0,
154191731,250002,Услуги,250005,Предложение услуг,"Реклама, полиграфия","Полиграфия, дизайн",,2955.0,4041.0,
154191836,250003,Работа,250004,Резюме,"Транспорт, логистика",,,3399.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,1,Для дома и дачи,38,Мебель и интерьер,Шкафы и комоды,,,4533.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,1,Для дома и дачи,38,Мебель и интерьер,Столы и стулья,,,4322.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,52,Книги и журналы,Книги,,,4701.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,52,Книги и журналы,"Журналы, газеты, брошюры",,,5033.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,1,Для дома и дачи,38,Мебель и интерьер,Освещение,,,3274.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,22,"Одежда, обувь, аксессуары",Аксессуары,,,2867.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,28,Личные вещи,47,Товары для детей и игрушки,Игрушки,,,5428.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
154192408,7,Хобби и отдых,37,Коллекционирование,Модели,,,1753.0,,
