item_id,title,category_id,name
335330,Раствор. Товарный бетон от производителя,15,Для дома и дачи|Ремонт и строительство|Стройматериалы
137480,Детская кроватка,16,"Для дома и дачи|Мебель и интерьер|Кровати, диваны и кресла"
242690,"Кровать -качалка с ящиком для вещей, два положения",34,Личные вещи|Товары для детей и игрушки|Детская мебель
434016,Линолеум комитекс лин печора орфей 431,15,Для дома и дачи|Ремонт и строительство|Стройматериалы
237890,Распродажа имущества предприятия. Компьютеры,7,Бытовая электроника|Настольные компьютеры
88200,"Чехословакия 50 крон 1949 год, серебро 0.500",45,Хобби и отдых|Коллекционирование|Монеты
371389,Двери шпон,25,Для дома и дачи|Ремонт и строительство|Двери
326757,Люстра бронзовая 4-х рожковая СССР с плафонами,28,Для дома и дачи|Мебель и интерьер|Освещение
333845,Кроватка,34,Личные вещи|Товары для детей и игрушки|Детская мебель
448735,Стиральная машина gorenje WS 40109,26,Для дома и дачи|Бытовая техника|Для дома|Стиральные машины
135292,Комб Torque,52,Хобби и отдых|Музыкальные инструменты|Для студии и концертов
281092,Гитарная радиосистема Audio Technica Atw-R160,52,Хобби и отдых|Музыкальные инструменты|Для студии и концертов
141262,Irbis tq79,3,Бытовая электроника|Планшеты и электронные книги|Планшеты
362668,Книги по программированию,43,Хобби и отдых|Книги и журналы|Книги
25621,"Монитор ЖК LG 20M45D-B, 19.5"", черный",13,Бытовая электроника|Товары для компьютера|Мониторы
233898,Брейсы Понсети Митчеллз (США),37,Личные вещи|Красота и здоровье|Приборы и аксессуары
148707,Зеркало настенное в раме из протанга,19,"Для дома и дачи|Мебель и интерьер|Предметы интерьера, искусство"
398553,Игровой компьютер 2 ядра 2 гига,7,Бытовая электроника|Настольные компьютеры
27167,"Sunlite Suite 2, Martin, Light Jockey, Daslight, D",52,Хобби и отдых|Музыкальные инструменты|Для студии и концертов
427917,Intel NUC Core i3,7,Бытовая электроника|Настольные компьютеры
282214,Балетки женские,39,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Обувь"
98616,Dexp lxion E140,6,Бытовая электроника|Телефоны|Другие марки
75890,Антуриум розовый,24,Для дома и дачи|Растения
347281,Туфли Winzor,39,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Обувь"
5652,Пинпоинтер Garrett PRO Pointer,47,Хобби и отдых|Спорт и отдых|Другое
87669,Для милых дам5,35,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Платья и юбки"
195411,Манеж,34,Личные вещи|Товары для детей и игрушки|Детская мебель
205757,Обруч массажный Хулахуп Big ball magnet,46,Хобби и отдых|Спорт и отдых|Фитнес и тренажёры
44689,Обмен PS 3 Slim,4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
270320,Гидравлический тормоз shimano br-m395,53,Хобби и отдых|Велосипеды|Запчасти и аксессуары
389047,Nokia Asha 308 и Nokia Asha 310,10,Бытовая электроника|Телефоны|Nokia
469038,Продается кроватка - трансформер б/у,34,Личные вещи|Товары для детей и игрушки|Детская мебель
51871,"Часы DG, оригинал",36,Личные вещи|Часы и украшения|Часы
76004,Thomson,5,Бытовая электроника|Аудио и видео|Телевизоры и проекторы
389661,Скамья и стойки два в одном,46,Хобби и отдых|Спорт и отдых|Фитнес и тренажёры
177914,Детские книги и другое,43,Хобби и отдых|Книги и журналы|Книги
153467,Шкафы-Купе. Прихожии,18,Для дома и дачи|Мебель и интерьер|Шкафы и комоды
429995,Кадка дубовая,20,Для дома и дачи|Посуда и товары для кухни|Посуда
6649,Куртка зимняя женская,33,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Верхняя одежда"
228006,Коляска детская,32,Личные вещи|Товары для детей и игрушки|Детские коляски
384598,Тапочки соломенные и сумочка р. работы,19,"Для дома и дачи|Мебель и интерьер|Предметы интерьера, искусство"
165761,Люстра K1590,28,Для дома и дачи|Мебель и интерьер|Освещение
64986,Тыква натуральная с дачи,41,Личные вещи|Товары для детей и игрушки|Товары для кормления
464257,Люстра класса Люкс,28,Для дома и дачи|Мебель и интерьер|Освещение
308028,Продаю эксклюзивные Romain Jerome,36,Личные вещи|Часы и украшения|Часы
308560,Продам коляску-трансформер,32,Личные вещи|Товары для детей и игрушки|Детские коляски
430443,iPhone 6s icloud Apple ID space grey,0,Бытовая электроника|Телефоны|iPhone
440948,Телевизор LG,5,Бытовая электроника|Аудио и видео|Телевизоры и проекторы
310490,Чехол для спиннинга,49,Хобби и отдых|Охота и рыбалка
56230,Тревел-кейс. Натуральная кожа,31,"Личные вещи|Одежда, обувь, аксессуары|Аксессуары"
362738,Чехлы на iPhone 5s любой за 100,9,Бытовая электроника|Телефоны|Аксессуары|Чехлы и плёнки
129784,Минитренажер. Bodykraft M-44,46,Хобби и отдых|Спорт и отдых|Фитнес и тренажёры
425651,Кружева ручной работы,27,Для дома и дачи|Мебель и интерьер|Текстиль и ковры
455329,Гладильная доска,23,Для дома и дачи|Мебель и интерьер|Другое
213606,"До ""Камея""",25,Для дома и дачи|Ремонт и строительство|Двери
418073,Продам некоторые монеты,45,Хобби и отдых|Коллекционирование|Монеты
300307,Франсуа Рабле. Гаргантюа и Пантагрюэль,43,Хобби и отдых|Книги и журналы|Книги
56697,Sony xperia C,11,Бытовая электроника|Телефоны|Sony
149131,Диапроектор малогабаритный Экран слайды диапозитив,5,Бытовая электроника|Аудио и видео|Телевизоры и проекторы
107053,Маршрутизатор Huawei B593s-22,14,Бытовая электроника|Товары для компьютера|Сетевое оборудование
247730,"Камера author 16"" авто 1.50-2.2 (32/57-305) без уп",53,Хобби и отдых|Велосипеды|Запчасти и аксессуары
295569,Седло Selle Italia X1 новое / Velo Plush б/у,53,Хобби и отдых|Велосипеды|Запчасти и аксессуары
448992,Самовар электрический,29,Для дома и дачи|Бытовая техника|Для кухни|Мелкая кухонная техника
86436,Электрогитара Flight EST13 + комбоусилитель,50,Хобби и отдых|Музыкальные инструменты|Гитары и другие струнные
39724,Детский столик,34,Личные вещи|Товары для детей и игрушки|Детская мебель
78178,Playstation 3 Super Slim 500,4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
425205,Платье классическое белое,35,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Платья и юбки"
471321,Uncharted коллекция для ps4,8,"Бытовая электроника|Игры, приставки и программы|Игры для приставок"
143887,Машинка шлифовальная плоская (вибрационная),17,Для дома и дачи|Ремонт и строительство|Инструменты
133749,Майкрософт дуос сим 535,10,Бытовая электроника|Телефоны|Nokia
157312,Sony Xperia Z5 Dual Ростест в отличном состоянии,11,Бытовая электроника|Телефоны|Sony
32467,Золотая подвеска 300002479,40,Личные вещи|Часы и украшения|Ювелирные изделия
43267,Прогулочная коляска,32,Личные вещи|Товары для детей и игрушки|Детские коляски
211498,Штора зеленая,27,Для дома и дачи|Мебель и интерьер|Текстиль и ковры
57360,Пустые коробы,52,Хобби и отдых|Музыкальные инструменты|Для студии и концертов
474947,Телевизор,5,Бытовая электроника|Аудио и видео|Телевизоры и проекторы
246404,Сейф засыпной,23,Для дома и дачи|Мебель и интерьер|Другое
217486,Чехол Apple iPhone 6+,9,Бытовая электроника|Телефоны|Аксессуары|Чехлы и плёнки
301062,Батильоны,39,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Обувь"
334157,"Энциклопедия Древо Познания, 10 папок",51,Хобби и отдых|Книги и журналы|Учебная литература
102076,Nokia 3230,10,Бытовая электроника|Телефоны|Nokia
139070,Горнолыжные ботинки Lange,42,Хобби и отдых|Спорт и отдых|Зимние виды спорта
474382,Летнее платье,35,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Платья и юбки"
344863,Роутер D-link dir-615,14,Бытовая электроника|Товары для компьютера|Сетевое оборудование
148656,"Мобиль 3 в 1 Крошка Принцесса Tiny Love""",30,Личные вещи|Товары для детей и игрушки|Игрушки
117717,Латынина Ю. Только голуби летают бесплатно 2004,43,Хобби и отдых|Книги и журналы|Книги
476557,Samsung galaxy tab 4 7.0 (3G),3,Бытовая электроника|Планшеты и электронные книги|Планшеты
312758,Гладильная доска,23,Для дома и дачи|Мебель и интерьер|Другое
137060,Стол журнальный Маджеста-5(Олмеко),22,Для дома и дачи|Мебель и интерьер|Столы и стулья
239736,Пароизоляционная мембрана Tyvek AirGuard 75кв. м,15,Для дома и дачи|Ремонт и строительство|Стройматериалы
388986,Акриловая ванна и раковина,21,Для дома и дачи|Ремонт и строительство|Сантехника и сауна
251563,Пряжа raffia. Пр. италия,47,Хобби и отдых|Спорт и отдых|Другое
327366,iPhone 5 белый 16gb,0,Бытовая электроника|Телефоны|iPhone
213049,Adidas Спортивный костюм,38,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Другое"
126730,"Приборы оздоровления и гармонизации ""Пульсар-Преми",37,Личные вещи|Красота и здоровье|Приборы и аксессуары
463172,Типсы для наращивания,37,Личные вещи|Красота и здоровье|Приборы и аксессуары
341863,"Биология. Учебники 6 класс, 9 класс",51,Хобби и отдых|Книги и журналы|Учебная литература
394871,Чехол для Samsung Galaxy S6 Edge Plus,9,Бытовая электроника|Телефоны|Аксессуары|Чехлы и плёнки
192039,Стол-тумба ст-01,22,Для дома и дачи|Мебель и интерьер|Столы и стулья
323175,Сотейник-сковорода zepter 24см,20,Для дома и дачи|Посуда и товары для кухни|Посуда
198638,Прихожая,18,Для дома и дачи|Мебель и интерьер|Шкафы и комоды
388539,Межкомнатная дверь с покрытием скин экошпон асбд(ф,25,Для дома и дачи|Ремонт и строительство|Двери
19204,Продам смесь,41,Личные вещи|Товары для детей и игрушки|Товары для кормления
361752,Samsung galaxy note 8000,3,Бытовая электроника|Планшеты и электронные книги|Планшеты
426459,Стулья и табуретки,22,Для дома и дачи|Мебель и интерьер|Столы и стулья
314317,"Седло велосипедное velo комфорт VL-8089 широкое, п",53,Хобби и отдых|Велосипеды|Запчасти и аксессуары
376693,"Серьги-бабочки, серебро",40,Личные вещи|Часы и украшения|Ювелирные изделия
15211,Highscreen boost 2,6,Бытовая электроника|Телефоны|Другие марки
206181,Ароматная корзинка,19,"Для дома и дачи|Мебель и интерьер|Предметы интерьера, искусство"
37231,3D LED-Телевизор Samsung smart TV UE40D6100S,5,Бытовая электроника|Аудио и видео|Телевизоры и проекторы
129248,Стенка 4 секции,23,Для дома и дачи|Мебель и интерьер|Другое
451786,Sony PlayStation 4,4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
316722,Jawbone UP,46,Хобби и отдых|Спорт и отдых|Фитнес и тренажёры
340327,Детская кроватка,34,Личные вещи|Товары для детей и игрушки|Детская мебель
301532,Алтын-Толобас Борис Акунин,43,Хобби и отдых|Книги и журналы|Книги
254653,Фарфоровые статуэтки,44,Хобби и отдых|Коллекционирование|Другое
88711,Продам Самсунг s5,2,Бытовая электроника|Телефоны|Samsung
118076,"Колонки ""Daewoo""",12,"Бытовая электроника|Аудио и видео|Акустика, колонки, сабвуферы"
187493,Продам стульчик для кормления,34,Личные вещи|Товары для детей и игрушки|Детская мебель
373154,Zyxel keenetic 4g,14,Бытовая электроника|Товары для компьютера|Сетевое оборудование
112724,Уголок школьника,23,Для дома и дачи|Мебель и интерьер|Другое
140553,"Угольник слесарный уш- 400х250 кл.1 ""Эталон""",17,Для дома и дачи|Ремонт и строительство|Инструменты
704,Картина. Масло. Волошина,19,"Для дома и дачи|Мебель и интерьер|Предметы интерьера, искусство"
455990,Эхолот/плоттер Lowrance Elite-7 chirp,49,Хобби и отдых|Охота и рыбалка
216152,Toshiba Satellite L300,1,Бытовая электроника|Ноутбуки
202056,Тарелки глубокие,20,Для дома и дачи|Посуда и товары для кухни|Посуда
89427,Басовый процессор Zoom B3,52,Хобби и отдых|Музыкальные инструменты|Для студии и концертов
288213,"Лыжи ""юность"" 160 см",42,Хобби и отдых|Спорт и отдых|Зимние виды спорта
388869,Шкаф угловой,18,Для дома и дачи|Мебель и интерьер|Шкафы и комоды
459926,PS Vita,4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
85573,Пальма,24,Для дома и дачи|Растения
481451,Котёл двухконтурный настенный Navien Deluxe 13кв а,21,Для дома и дачи|Ремонт и строительство|Сантехника и сауна
107301,Sony PlayStation 4 500 гб,4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
325855,Пластик. контейнер для дезинфекции ман. инструмент,37,Личные вещи|Красота и здоровье|Приборы и аксессуары
229173,Lumia 550 4g LTE + бампер,10,Бытовая электроника|Телефоны|Nokia
177441,Wi-Fi роутер,14,Бытовая электроника|Товары для компьютера|Сетевое оборудование
274077,Бутыль,20,Для дома и дачи|Посуда и товары для кухни|Посуда
214958,Квадрокоптер с камерой Syma X5c (Новый),47,Хобби и отдых|Спорт и отдых|Другое
113746,"Картина ""Весенний пейзаж. С кортежем на аллее""",19,"Для дома и дачи|Мебель и интерьер|Предметы интерьера, искусство"
162079,Техноэласт эпп,15,Для дома и дачи|Ремонт и строительство|Стройматериалы
440590,Двери,25,Для дома и дачи|Ремонт и строительство|Двери
66739,Рубанок ppl800a,17,Для дома и дачи|Ремонт и строительство|Инструменты
284976,Fifa 16(xbox 360),8,"Бытовая электроника|Игры, приставки и программы|Игры для приставок"
192303,Пояс-утяжелитель 6 кг,46,Хобби и отдых|Спорт и отдых|Фитнес и тренажёры
383817,Huawei t1-701,3,Бытовая электроника|Планшеты и электронные книги|Планшеты
418394,Бондаж,38,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Другое"
481698,Солнечная Болгария,48,Хобби и отдых|Билеты и путешествия|Путешествия
245529,UMI Hammer S,6,Бытовая электроника|Телефоны|Другие марки
224543,Продаю,11,Бытовая электроника|Телефоны|Sony
321312,Браслет выживания из паракорда,49,Хобби и отдых|Охота и рыбалка
124713,Межкомнатная дверь со стеклом и петлями,25,Для дома и дачи|Ремонт и строительство|Двери
75676,Продам письменный стол,22,Для дома и дачи|Мебель и интерьер|Столы и стулья
1509,Уилки Коллинз,43,Хобби и отдых|Книги и журналы|Книги
18707,Миксер,29,Для дома и дачи|Бытовая техника|Для кухни|Мелкая кухонная техника
159024,Стенка,18,Для дома и дачи|Мебель и интерьер|Шкафы и комоды
289075,Межкомнатные двери Тара AL 2,25,Для дома и дачи|Ремонт и строительство|Двери
451215,Новые люстры Таверна в двух цветах,28,Для дома и дачи|Мебель и интерьер|Освещение
306955,Уфа- лампа,37,Личные вещи|Красота и здоровье|Приборы и аксессуары
365736,Туфли женские,39,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Обувь"
19364,"Продам мониторы фирмы dell-17""",13,Бытовая электроника|Товары для компьютера|Мониторы
90536,Samsung p2250,13,Бытовая электроника|Товары для компьютера|Мониторы
46894,Акустическая система yamaha NS50 250Вт,12,"Бытовая электроника|Аудио и видео|Акустика, колонки, сабвуферы"
360780,Хрусталь,20,Для дома и дачи|Посуда и товары для кухни|Посуда
243674,Продам xbox 360,4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
51454,Sony Xperia z,11,Бытовая электроника|Телефоны|Sony
215190,Гитара fender american deluxe strat RW 3-Color Sun,50,Хобби и отдых|Музыкальные инструменты|Гитары и другие струнные
223379,Компрессионный микродвигатель,47,Хобби и отдых|Спорт и отдых|Другое
351094,SonyPlayStation 2,4,"Бытовая электроника|Игры, приставки и программы|Игровые приставки"
119486,Frisolac 1,41,Личные вещи|Товары для детей и игрушки|Товары для кормления
4316,Акустическая гитара,50,Хобби и отдых|Музыкальные инструменты|Гитары и другие струнные
185919,"Продам пк от компании ""alg софт""",7,Бытовая электроника|Настольные компьютеры
269336,Системный блок Intel Core2Duo,7,Бытовая электроника|Настольные компьютеры
286225,Продается Sony Xperia C3,11,Бытовая электроника|Телефоны|Sony
152947,"Стельки ортопедические ""Talus"" детские",37,Личные вещи|Красота и здоровье|Приборы и аксессуары
43188,Диван в стиле барокко Anna,16,"Для дома и дачи|Мебель и интерьер|Кровати, диваны и кресла"
133459,Окружающий мир,51,Хобби и отдых|Книги и журналы|Учебная литература
252378,Платье и туника для беременной,38,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Другое"
359593,"Телефон Turbo Pad 500 белый 5"", батарея, крышка",6,Бытовая электроника|Телефоны|Другие марки
102228,Вельветовая винтажная кепка,38,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Другое"
485864,Стол-книжка,22,Для дома и дачи|Мебель и интерьер|Столы и стулья
398865,Sony xperia M4 Aqua Dual,11,Бытовая электроника|Телефоны|Sony
22353,Книга на английском уровень А2+ CD,51,Хобби и отдых|Книги и журналы|Учебная литература
267130,"Casadei, для самых смелых (оригинал)",39,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Обувь"
45811,Планшет ZTE E7,3,Бытовая электроника|Планшеты и электронные книги|Планшеты
411190,Продам новые сноубордические ботинки,42,Хобби и отдых|Спорт и отдых|Зимние виды спорта
471837,Ремень мужской Tommy Hilfiger. Натуральная кожа,31,"Личные вещи|Одежда, обувь, аксессуары|Аксессуары"
60656,Скальные туфли Mad Rock (размер 43),47,Хобби и отдых|Спорт и отдых|Другое
221523,Лучшие Аксессуары для Вашего iPhone 4.5.6,9,Бытовая электроника|Телефоны|Аксессуары|Чехлы и плёнки
113087,Lenovo Yoga Tablet 10 HD+ 32Gb 3G,3,Бытовая электроника|Планшеты и электронные книги|Планшеты
71636,Массажер для ног,37,Личные вещи|Красота и здоровье|Приборы и аксессуары
4900,Молокоотсос,41,Личные вещи|Товары для детей и игрушки|Товары для кормления
284353,011-3207507585710 Кольцо Золото Желтое,40,Личные вещи|Часы и украшения|Ювелирные изделия
375384,"Новые санки коляска ника4., перекид. ручка",32,Личные вещи|Товары для детей и игрушки|Детские коляски
406848,Sony Xperia Z3 compact,11,Бытовая электроника|Телефоны|Sony
472564,Спортивная сумка,47,Хобби и отдых|Спорт и отдых|Другое
428221,Цветочные вешалки ручной работы,31,"Личные вещи|Одежда, обувь, аксессуары|Аксессуары"
210890,Слинг с кольцами,32,Личные вещи|Товары для детей и игрушки|Детские коляски
306383,Диски для xbox360,8,"Бытовая электроника|Игры, приставки и программы|Игры для приставок"
28749,"Пол Арден ""Прыгай выше головы""",43,Хобби и отдых|Книги и журналы|Книги
465063,"Кровать надувная Premium Comfort, 152x203x33см",16,"Для дома и дачи|Мебель и интерьер|Кровати, диваны и кресла"
370684,Кукла Эвен афтер хай Apple,30,Личные вещи|Товары для детей и игрушки|Игрушки
452920,Телевизор Самсунг,5,Бытовая электроника|Аудио и видео|Телевизоры и проекторы
245547,Far Cry 4 PS3,8,"Бытовая электроника|Игры, приставки и программы|Игры для приставок"
358915,Продам набор чайный,20,Для дома и дачи|Посуда и товары для кухни|Посуда
162526,Продам норковую шубу,33,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Верхняя одежда"
234606,Лазерная указка 303,47,Хобби и отдых|Спорт и отдых|Другое
478915,Обувь,39,"Личные вещи|Одежда, обувь, аксессуары|Женская одежда|Обувь"
477493,Шкаф -купе,18,Для дома и дачи|Мебель и интерьер|Шкафы и комоды
372428,Полка для цветов,19,"Для дома и дачи|Мебель и интерьер|Предметы интерьера, искусство"
337455,Изделия с элементами ковки,25,Для дома и дачи|Ремонт и строительство|Двери
